Age,Overall,Potential,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,Preferred Positions
32,94,94,95500000,565000,2228,89,63,89,63,93,95,85,81,91,94,76,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88,89,53,62,91,82,89,61,53,82,62,91,89,92,91,66,89,61,53,82,62,91,89,92,91,66,92,ST
30,93,93,105000000,565000,2154,92,48,90,95,95,96,77,89,97,95,90,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85,92,45,59,92,84,92,57,45,84,59,92,90,88,91,62,92,57,45,84,59,92,90,88,91,62,88,RW
25,92,94,123000000,280000,2100,94,56,96,82,95,92,75,81,96,89,84,62,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83,88,46,59,88,79,88,59,46,79,59,88,87,84,89,64,88,59,46,79,59,88,87,84,89,64,84,LW
30,92,92,97000000,510000,2291,88,78,86,60,91,83,77,86,86,94,84,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88,87,58,65,88,80,87,64,58,80,65,88,85,88,87,68,87,64,58,80,65,88,85,88,87,68,88,ST
28,91,91,92000000,355000,2143,79,80,78,80,89,87,62,77,85,91,84,85,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87,84,57,62,87,78,84,58,57,78,62,87,82,88,84,61,84,58,57,78,62,87,82,88,84,61,88,ST
26,90,91,90500000,295000,2096,93,54,93,91,92,87,80,82,93,83,79,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79,88,47,61,87,81,88,59,47,81,61,87,87,82,88,64,88,59,47,81,61,87,87,82,88,64,82,LW
27,90,90,79000000,340000,2165,60,60,71,69,89,85,85,85,79,76,84,54,85,32,93,90,63,73,79,86,90,87,69,52,77,82,74,88,82,83,72,82,81,87,83,76,72,87,82,81,81,77,80,78,83,76,72,87,82,81,81,77,80,78,77,CDM
29,90,90,77000000,275000,1961,78,50,75,69,85,86,68,74,84,91,62,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88,81,46,52,84,71,81,51,46,71,52,84,79,87,82,55,81,51,46,71,52,84,79,87,82,55,87,ST
31,90,90,52000000,310000,2153,75,84,79,60,84,80,66,73,61,60,67,91,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66,70,87,83,70,74,70,84,87,74,83,70,71,72,69,81,70,84,87,74,83,70,71,72,69,81,72,CB
26,89,92,83000000,285000,2162,76,68,80,75,87,84,90,83,85,83,83,53,56,65,84,86,30,77,84,88,90,85,40,75,87,51,73,90,82,86,57,70,85,84,86,66,57,84,70,85,85,81,85,71,86,66,57,84,70,85,85,81,85,71,81,RM
28,89,89,67500000,265000,2181,88,80,90,87,87,86,80,78,90,85,78,70,42,85,73,82,30,77,86,87,81,84,35,84,85,39,72,83,83,85,56,64,85,79,85,62,56,79,64,85,85,83,86,66,85,62,56,79,64,85,85,83,86,66,83,RM
31,89,89,57000000,340000,2228,75,62,93,94,92,84,78,79,86,71,77,55,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74,86,72,80,83,86,86,78,72,86,80,83,84,76,83,80,86,78,72,86,80,83,84,76,83,80,76,CDM
27,89,89,69500000,370000,2263,93,65,77,65,87,85,87,86,89,87,85,86,59,85,80,90,51,76,86,87,86,91,52,95,76,55,80,79,76,86,67,71,87,81,86,72,67,81,71,87,87,87,87,74,86,72,67,81,71,87,87,87,87,74,87,RW
29,89,89,66500000,325000,2074,90,63,86,91,89,90,70,82,89,90,72,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85,44,54,87,75,85,52,44,75,54,87,84,86,86,57,85,52,44,75,54,87,84,86,86,57,86,ST
32,89,89,38000000,225000,1867,68,92,59,64,57,82,58,60,58,33,31,84,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45,55,86,76,55,60,55,78,86,60,76,55,58,59,56,75,55,78,86,60,76,55,58,59,56,75,59,CB
23,88,93,79000000,215000,2063,88,48,91,85,93,84,80,88,92,85,84,68,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88,86,43,55,86,78,86,55,43,78,55,86,86,83,87,60,86,55,43,78,55,86,86,83,87,60,83,ST
26,88,91,75000000,150000,2104,87,69,90,80,86,86,82,84,87,88,75,80,35,87,75,82,23,71,91,90,79,81,11,86,76,22,61,76,87,84,48,57,85,76,84,56,48,76,57,85,84,85,86,60,84,56,48,76,57,85,84,85,86,60,85,LW
26,88,90,70500000,225000,2185,77,57,90,86,92,83,72,85,90,69,77,58,78,75,90,82,49,75,83,84,91,75,62,68,75,64,59,86,90,86,66,76,83,85,86,72,66,85,76,83,83,77,83,75,86,72,66,85,76,83,83,77,83,75,77,CDM
28,88,88,61000000,165000,2078,95,43,77,70,82,84,77,78,82,88,74,79,48,77,64,79,28,79,89,87,77,81,36,96,79,25,77,77,86,82,52,59,84,74,82,62,52,74,59,84,83,85,84,65,82,62,52,74,59,84,83,85,84,65,85,ST
30,88,88,44000000,210000,1995,62,82,60,52,75,84,44,56,69,39,61,88,90,85,85,65,84,70,38,86,79,74,88,72,73,88,85,74,58,68,86,83,66,75,68,79,86,75,83,66,66,65,63,76,68,79,86,75,83,66,66,65,63,76,65,CB
28,88,88,48000000,215000,1989,72,82,58,53,71,86,69,56,67,34,31,85,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53,67,85,82,66,73,67,81,85,73,82,66,69,65,65,79,67,81,85,73,82,66,69,65,65,79,65,CB
31,88,88,40000000,125000,1930,62,86,63,58,76,82,55,49,53,42,51,92,88,89,70,43,87,50,48,85,79,67,89,67,67,86,80,52,47,63,86,80,62,69,63,79,86,69,80,62,63,64,61,76,63,79,86,69,80,62,63,64,61,76,64,CB
28,88,88,48000000,215000,2038,62,66,64,58,77,91,64,65,68,55,53,89,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60,71,85,83,69,77,71,80,85,77,83,69,70,69,68,78,71,80,85,77,83,69,70,69,68,78,69,CB
28,88,88,60000000,265000,1927,75,48,83,70,90,78,82,84,86,74,79,54,24,52,84,76,22,67,83,87,89,70,19,68,69,16,57,92,77,85,41,57,82,79,85,52,41,79,57,82,83,76,83,58,85,52,41,79,57,82,83,76,83,58,76,RW
32,88,88,34000000,175000,2124,70,77,74,68,80,83,60,61,68,38,67,82,89,93,81,71,90,71,59,84,79,74,88,74,74,89,81,74,63,72,85,83,69,77,72,81,85,77,83,69,70,67,68,79,72,81,85,77,83,69,70,67,68,79,67,CB
35,88,88,27000000,240000,2075,63,84,81,41,88,91,76,82,82,87,82,80,20,69,76,85,15,91,86,86,84,91,27,67,71,41,88,83,90,83,52,60,83,78,83,54,52,78,60,83,80,84,82,58,83,54,52,78,60,83,80,84,82,58,84,ST
33,88,88,36000000,225000,2081,87,47,89,91,89,86,80,87,92,85,81,51,39,61,71,88,29,80,85,87,84,87,26,86,68,26,67,83,86,86,47,59,86,78,86,58,47,78,59,86,85,82,87,63,86,58,47,78,59,86,85,82,87,63,82,RW
26,87,90,52500000,190000,2154,82,90,83,90,79,84,67,49,77,65,49,54,91,79,79,66,75,54,71,87,84,72,85,80,94,89,77,76,56,78,81,84,76,81,78,82,81,81,84,76,78,72,76,83,78,82,81,81,84,76,78,72,76,83,72,CM
24,87,91,64500000,130000,2154,69,89,87,94,88,91,72,73,90,58,64,55,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64,82,77,84,77,85,82,79,77,85,84,77,80,69,78,80,82,79,77,85,84,77,80,69,78,80,69,CDM
24,87,92,66500000,195000,2238,72,75,76,61,89,85,78,84,86,71,82,73,68,85,88,82,66,76,83,84,86,90,66,76,91,68,91,86,85,84,74,79,83,84,84,75,74,84,79,83,83,81,82,77,84,75,74,84,79,83,83,81,82,77,81,CDM
25,87,91,65000000,165000,2064,77,44,78,82,87,87,86,85,84,76,87,52,55,57,86,84,38,67,81,83,89,80,22,74,90,56,57,90,74,85,53,68,82,83,85,64,53,83,68,82,84,77,83,69,85,64,53,83,68,82,84,77,83,69,77,LM
30,87,87,37500000,160000,2278,76,93,75,77,83,86,76,76,76,77,68,81,85,82,82,85,76,81,80,89,84,86,85,74,91,89,77,80,78,81,84,85,81,83,81,83,84,83,85,81,80,81,80,83,81,83,84,83,85,81,80,81,80,83,81,CM
30,87,87,48500000,160000,2097,75,84,81,59,80,83,70,75,80,83,74,88,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84,80,58,62,82,74,80,61,58,74,62,82,79,84,80,64,80,61,58,74,62,82,79,84,80,64,84,ST
29,87,87,38000000,250000,2209,77,84,77,82,88,85,90,80,84,67,67,71,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54,79,82,82,79,80,79,84,82,80,82,79,81,77,80,84,79,84,82,80,82,79,81,77,80,84,77,LB
29,87,87,48500000,130000,2184,72,56,76,66,87,84,78,80,86,78,72,74,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79,85,71,77,84,85,85,75,71,85,77,84,83,81,83,77,85,75,71,85,77,84,83,81,83,77,81,CM
29,87,87,48500000,275000,2129,67,67,72,66,87,81,81,88,84,83,84,58,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80,83,64,74,82,84,83,69,64,84,74,82,82,78,81,72,83,69,64,84,74,82,82,78,81,72,78,CM
31,87,87,44000000,220000,1977,72,51,92,89,90,92,83,82,84,71,75,54,43,66,79,73,25,73,81,84,91,71,29,65,78,44,56,92,79,84,50,64,81,81,84,59,50,81,64,81,82,75,82,65,84,59,50,81,64,81,82,75,82,65,75,LM
30,87,87,37500000,240000,1974,55,72,58,42,78,86,57,58,59,64,43,83,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57,68,84,81,68,74,68,78,84,74,81,68,68,69,66,76,68,78,84,74,81,68,68,69,66,76,69,CB
33,87,87,29500000,260000,2073,72,58,79,84,94,89,77,80,90,70,70,54,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74,87,63,74,83,84,87,69,63,84,74,83,84,76,84,72,87,69,63,84,74,83,84,76,84,72,76,LM
23,86,90,59000000,165000,2057,68,74,73,62,82,84,70,71,78,90,66,83,35,70,67,84,41,84,89,87,75,87,38,74,85,36,86,75,73,79,57,62,82,74,79,60,57,74,62,82,78,84,79,62,79,60,57,74,62,82,78,84,79,62,84,ST
25,86,89,56000000,250000,2118,77,65,82,75,85,87,88,87,83,82,86,62,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91,83,53,64,83,79,83,61,53,79,64,83,82,80,83,65,83,61,53,79,64,83,82,80,83,65,80,RM
25,86,90,56500000,250000,2105,74,58,83,85,91,86,72,86,90,88,74,55,70,64,85,87,25,76,83,79,86,72,51,69,71,73,59,84,64,85,61,71,84,84,85,67,61,84,71,84,82,79,83,70,85,67,61,84,71,84,82,79,83,70,79,LM
25,86,88,44500000,150000,2278,86,69,79,77,83,79,82,78,79,63,85,75,85,82,80,83,81,80,77,84,83,83,83,86,87,83,69,78,68,80,80,82,79,81,80,83,80,81,82,79,81,77,80,84,80,83,80,81,82,79,81,77,80,84,77,CM
24,86,90,59000000,210000,1997,76,72,62,47,75,84,68,72,77,89,66,87,27,71,68,75,27,82,87,85,71,88,30,89,80,30,93,73,76,77,53,57,80,71,77,56,53,71,57,80,77,84,78,58,77,56,53,71,57,80,77,84,78,58,84,ST
26,86,88,44000000,175000,2207,84,82,79,79,81,82,86,78,82,55,59,76,82,79,71,72,78,60,70,86,81,80,84,88,93,84,80,70,68,77,81,81,76,78,77,84,81,78,81,76,80,75,78,84,77,84,81,78,81,76,80,75,78,84,75,LM
27,86,86,47500000,190000,2078,76,57,76,72,82,83,77,81,75,87,59,82,58,81,68,77,31,60,93,92,81,77,44,78,90,41,67,81,83,81,58,65,83,78,81,66,58,78,65,83,81,83,81,68,81,66,58,78,65,83,81,83,81,68,83,ST
28,86,86,36000000,250000,1998,48,85,58,55,80,88,62,66,74,60,68,68,86,66,79,54,81,60,77,82,88,61,80,34,88,85,77,84,44,75,80,83,72,81,75,76,80,81,83,72,73,68,70,77,75,76,80,81,83,72,73,68,70,77,68,CM
